source,WASHng
demandMatrix-abilene-zhang-5min-20040831-0555.txt,703.857613
demandMatrix-abilene-zhang-5min-20040831-0600.txt,653.2327909999999
demandMatrix-abilene-zhang-5min-20040831-0605.txt,668.633829
demandMatrix-abilene-zhang-5min-20040831-0610.txt,648.741538
demandMatrix-abilene-zhang-5min-20040831-0615.txt,649.431996
demandMatrix-abilene-zhang-5min-20040831-0620.txt,612.3252909999999
demandMatrix-abilene-zhang-5min-20040831-0625.txt,682.3587209999998
demandMatrix-abilene-zhang-5min-20040831-0630.txt,632.281449
demandMatrix-abilene-zhang-5min-20040831-0635.txt,662.4768130000001
demandMatrix-abilene-zhang-5min-20040831-0640.txt,673.860846
demandMatrix-abilene-zhang-5min-20040831-0645.txt,714.9212840000001
demandMatrix-abilene-zhang-5min-20040831-0650.txt,650.468465
demandMatrix-abilene-zhang-5min-20040831-0655.txt,669.102804
demandMatrix-abilene-zhang-5min-20040831-0700.txt,626.037687
demandMatrix-abilene-zhang-5min-20040831-0705.txt,663.414304
demandMatrix-abilene-zhang-5min-20040831-0710.txt,606.755259
demandMatrix-abilene-zhang-5min-20040831-0715.txt,605.993802
demandMatrix-abilene-zhang-5min-20040831-0720.txt,572.738746
demandMatrix-abilene-zhang-5min-20040831-0725.txt,604.3426549999999
demandMatrix-abilene-zhang-5min-20040831-0730.txt,623.345995
demandMatrix-abilene-zhang-5min-20040831-0735.txt,633.7388280000001
demandMatrix-abilene-zhang-5min-20040831-0740.txt,604.597654
demandMatrix-abilene-zhang-5min-20040831-0745.txt,614.819803
demandMatrix-abilene-zhang-5min-20040831-0750.txt,586.4047200000001
demandMatrix-abilene-zhang-5min-20040831-0755.txt,629.1217760000001
demandMatrix-abilene-zhang-5min-20040831-0800.txt,542.104642
demandMatrix-abilene-zhang-5min-20040831-0805.txt,619.496119
demandMatrix-abilene-zhang-5min-20040831-0810.txt,543.9171980000001
demandMatrix-abilene-zhang-5min-20040831-0815.txt,574.6266430000001
demandMatrix-abilene-zhang-5min-20040831-0820.txt,548.9988209999999
demandMatrix-abilene-zhang-5min-20040831-0825.txt,622.19756
demandMatrix-abilene-zhang-5min-20040831-0830.txt,543.928654
demandMatrix-abilene-zhang-5min-20040831-0835.txt,535.426661
demandMatrix-abilene-zhang-5min-20040831-0840.txt,532.815091
demandMatrix-abilene-zhang-5min-20040831-0845.txt,568.0622559999999
demandMatrix-abilene-zhang-5min-20040831-0850.txt,511.11904000000004
demandMatrix-abilene-zhang-5min-20040831-0855.txt,594.801715
demandMatrix-abilene-zhang-5min-20040831-0900.txt,527.107204
demandMatrix-abilene-zhang-5min-20040831-0905.txt,535.612397
demandMatrix-abilene-zhang-5min-20040831-0910.txt,502.6829419999999
demandMatrix-abilene-zhang-5min-20040831-0915.txt,548.1872639999999
demandMatrix-abilene-zhang-5min-20040831-0920.txt,596.203618
demandMatrix-abilene-zhang-5min-20040831-0925.txt,541.578331
demandMatrix-abilene-zhang-5min-20040831-0930.txt,544.952041
demandMatrix-abilene-zhang-5min-20040831-0935.txt,530.7283460000001
demandMatrix-abilene-zhang-5min-20040831-0940.txt,582.930036
demandMatrix-abilene-zhang-5min-20040831-0945.txt,536.277432
demandMatrix-abilene-zhang-5min-20040831-0950.txt,567.117212
demandMatrix-abilene-zhang-5min-20040831-0955.txt,546.1666369999999
demandMatrix-abilene-zhang-5min-20040831-1000.txt,538.0850750000001
