source,LOSAng
demandMatrix-abilene-zhang-5min-20040518-0150.txt,501.95452800000004
demandMatrix-abilene-zhang-5min-20040518-0155.txt,511.615431
demandMatrix-abilene-zhang-5min-20040518-0200.txt,513.726269
demandMatrix-abilene-zhang-5min-20040518-0205.txt,477.210399
demandMatrix-abilene-zhang-5min-20040518-0210.txt,522.2285410000001
demandMatrix-abilene-zhang-5min-20040518-0215.txt,438.30846599999995
demandMatrix-abilene-zhang-5min-20040518-0220.txt,478.837418
demandMatrix-abilene-zhang-5min-20040518-0225.txt,462.908655
demandMatrix-abilene-zhang-5min-20040518-0230.txt,477.32805999999994
demandMatrix-abilene-zhang-5min-20040518-0235.txt,512.884923
demandMatrix-abilene-zhang-5min-20040518-0240.txt,493.5254990000001
demandMatrix-abilene-zhang-5min-20040518-0245.txt,522.753463
demandMatrix-abilene-zhang-5min-20040518-0250.txt,476.683183
demandMatrix-abilene-zhang-5min-20040518-0255.txt,468.8878719999999
demandMatrix-abilene-zhang-5min-20040518-0300.txt,476.8819519999999
demandMatrix-abilene-zhang-5min-20040518-0305.txt,464.436568
demandMatrix-abilene-zhang-5min-20040518-0310.txt,484.37596799999994
demandMatrix-abilene-zhang-5min-20040518-0315.txt,457.73887399999995
demandMatrix-abilene-zhang-5min-20040518-0320.txt,462.05171199999995
demandMatrix-abilene-zhang-5min-20040518-0325.txt,455.910616
demandMatrix-abilene-zhang-5min-20040518-0330.txt,451.4057220000001
demandMatrix-abilene-zhang-5min-20040518-0335.txt,435.1839739999999
demandMatrix-abilene-zhang-5min-20040518-0340.txt,460.79767799999996
demandMatrix-abilene-zhang-5min-20040518-0345.txt,478.280306
demandMatrix-abilene-zhang-5min-20040518-0350.txt,466.432976
demandMatrix-abilene-zhang-5min-20040518-0355.txt,472.60392300000007
demandMatrix-abilene-zhang-5min-20040518-0400.txt,506.71298
demandMatrix-abilene-zhang-5min-20040518-0405.txt,498.531613
demandMatrix-abilene-zhang-5min-20040518-0410.txt,467.23440199999993
demandMatrix-abilene-zhang-5min-20040518-0415.txt,468.40511100000003
demandMatrix-abilene-zhang-5min-20040518-0420.txt,504.39249099999995
demandMatrix-abilene-zhang-5min-20040518-0425.txt,474.383525
demandMatrix-abilene-zhang-5min-20040518-0430.txt,438.709184
demandMatrix-abilene-zhang-5min-20040518-0435.txt,443.45028500000006
demandMatrix-abilene-zhang-5min-20040518-0440.txt,458.71980199999996
demandMatrix-abilene-zhang-5min-20040518-0445.txt,451.69498799999997
demandMatrix-abilene-zhang-5min-20040518-0450.txt,459.862632
demandMatrix-abilene-zhang-5min-20040518-0455.txt,435.388559
demandMatrix-abilene-zhang-5min-20040518-0500.txt,476.900046
demandMatrix-abilene-zhang-5min-20040518-0505.txt,468.469571
demandMatrix-abilene-zhang-5min-20040518-0510.txt,487.6720889999999
demandMatrix-abilene-zhang-5min-20040518-0515.txt,481.0035950000001
demandMatrix-abilene-zhang-5min-20040518-0520.txt,497.86146099999996
demandMatrix-abilene-zhang-5min-20040518-0525.txt,447.257106
demandMatrix-abilene-zhang-5min-20040518-0530.txt,466.09694999999994
