source,NYCMng,,,
demandMatrix-abilene-zhang-5min-20040805-2230.txt,343.630102,,,
demandMatrix-abilene-zhang-5min-20040805-2235.txt,347.478656,,,
demandMatrix-abilene-zhang-5min-20040805-2240.txt,340.111811,,,
demandMatrix-abilene-zhang-5min-20040805-2245.txt,298.48938899999996,,,
demandMatrix-abilene-zhang-5min-20040805-2250.txt,341.228756,,,
demandMatrix-abilene-zhang-5min-20040805-2255.txt,344.70523,,,
demandMatrix-abilene-zhang-5min-20040805-2300.txt,347.51967999999994,,,
demandMatrix-abilene-zhang-5min-20040805-2305.txt,326.14221899999995,,,
demandMatrix-abilene-zhang-5min-20040805-2310.txt,344.631704,,,
demandMatrix-abilene-zhang-5min-20040805-2315.txt,343.10669099999996,,,
demandMatrix-abilene-zhang-5min-20040805-2320.txt,349.065067,,,
demandMatrix-abilene-zhang-5min-20040805-2325.txt,339.887699,,,
demandMatrix-abilene-zhang-5min-20040805-2330.txt,327.966362,,,
demandMatrix-abilene-zhang-5min-20040805-2335.txt,350.71351000000004,,,
demandMatrix-abilene-zhang-5min-20040805-2340.txt,347.877673,,,
demandMatrix-abilene-zhang-5min-20040805-2345.txt,348.389305,,,
demandMatrix-abilene-zhang-5min-20040805-2350.txt,360.957974,,,
demandMatrix-abilene-zhang-5min-20040805-2355.txt,355.197512,,,
demandMatrix-abilene-zhang-5min-20040806-0000.txt,337.111037,,,
demandMatrix-abilene-zhang-5min-20040806-0005.txt,330.50096699999995,,,
demandMatrix-abilene-zhang-5min-20040806-0010.txt,315.456881,,,
demandMatrix-abilene-zhang-5min-20040806-0015.txt,309.284143,,,
demandMatrix-abilene-zhang-5min-20040806-0020.txt,300.067695,,,
demandMatrix-abilene-zhang-5min-20040806-0025.txt,285.911537,,,
demandMatrix-abilene-zhang-5min-20040806-0030.txt,278.165096,,,
demandMatrix-abilene-zhang-5min-20040806-0035.txt,281.43306199999995,,,
demandMatrix-abilene-zhang-5min-20040806-0040.txt,276.353167,,,
demandMatrix-abilene-zhang-5min-20040806-0045.txt,263.09119599999997,,,
demandMatrix-abilene-zhang-5min-20040806-0050.txt,262.655046,,,
demandMatrix-abilene-zhang-5min-20040806-0055.txt,254.00947200000002,,,
demandMatrix-abilene-zhang-5min-20040806-0100.txt,249.65697899999998,,,
demandMatrix-abilene-zhang-5min-20040806-0105.txt,242.93603099999999,,,
demandMatrix-abilene-zhang-5min-20040806-0110.txt,263.793148,,,
demandMatrix-abilene-zhang-5min-20040806-0115.txt,269.007648,,,
demandMatrix-abilene-zhang-5min-20040806-0120.txt,261.522152,,,
demandMatrix-abilene-zhang-5min-20040806-0125.txt,268.92420400000003,,,
demandMatrix-abilene-zhang-5min-20040806-0130.txt,260.847331,,,
demandMatrix-abilene-zhang-5min-20040806-0135.txt,255.84537,,,
demandMatrix-abilene-zhang-5min-20040806-0140.txt,251.29887399999998,,,
demandMatrix-abilene-zhang-5min-20040806-0145.txt,252.345189,,,
demandMatrix-abilene-zhang-5min-20040806-0150.txt,245.69226100000003,,,
demandMatrix-abilene-zhang-5min-20040806-0155.txt,246.88862799999998,,,
demandMatrix-abilene-zhang-5min-20040806-0200.txt,257.251014,,,
demandMatrix-abilene-zhang-5min-20040806-0205.txt,243.66727900000004,,,
demandMatrix-abilene-zhang-5min-20040806-0210.txt,239.11404699999997,,,
demandMatrix-abilene-zhang-5min-20040806-0215.txt,248.36685899999998,,,
demandMatrix-abilene-zhang-5min-20040806-0220.txt,253.26893699999997,,,
demandMatrix-abilene-zhang-5min-20040806-0225.txt,246.06239699999998,,,
demandMatrix-abilene-zhang-5min-20040806-0230.txt,257.37197100000003,,,
demandMatrix-abilene-zhang-5min-20040806-0235.txt,259.313261,,,
demandMatrix-abilene-zhang-5min-20040806-0240.txt,256.45189300000004,,,
demandMatrix-abilene-zhang-5min-20040806-0245.txt,265.64383799999996,,,
demandMatrix-abilene-zhang-5min-20040806-0250.txt,261.85991599999994,,,
demandMatrix-abilene-zhang-5min-20040806-0255.txt,249.423976,,,
demandMatrix-abilene-zhang-5min-20040806-0300.txt,253.87411299999997,,,
demandMatrix-abilene-zhang-5min-20040806-0305.txt,235.217022,,,
demandMatrix-abilene-zhang-5min-20040806-0310.txt,239.46821600000004,,,
demandMatrix-abilene-zhang-5min-20040806-0315.txt,253.76463700000002,,,
demandMatrix-abilene-zhang-5min-20040806-0320.txt,252.443591,,,
demandMatrix-abilene-zhang-5min-20040806-0325.txt,239.831619,,,
demandMatrix-abilene-zhang-5min-20040806-0330.txt,237.177995,,,
demandMatrix-abilene-zhang-5min-20040806-0335.txt,232.12130100000002,,,
demandMatrix-abilene-zhang-5min-20040806-0340.txt,217.80660400000002,,,
demandMatrix-abilene-zhang-5min-20040806-0345.txt,228.718353,,,
demandMatrix-abilene-zhang-5min-20040806-0350.txt,231.28200500000003,,,
demandMatrix-abilene-zhang-5min-20040806-0355.txt,250.520848,,,
demandMatrix-abilene-zhang-5min-20040806-0400.txt,249.28791,,,
demandMatrix-abilene-zhang-5min-20040806-0405.txt,240.08444300000002,,,
demandMatrix-abilene-zhang-5min-20040806-0410.txt,228.797829,,,
demandMatrix-abilene-zhang-5min-20040806-0415.txt,223.593073,,,
demandMatrix-abilene-zhang-5min-20040806-0420.txt,219.108184,,,
